us_l4code,us_l4name,color
9r,Adin/Dixie Low Hills,#FF847B
9q,Adin/Horsehead Mountains Forest and Woodland,#FF8576
14g,Amargosa Desert,#FF8771
7u,Antelope Plain,#FF886B
8c,Arid Montane Slopes,#FF8966
14e,Arid Valleys and Canyonlands,#FF8B60
81k,Arizona Upland/Eastern Sonoran Mountains,#FF8C5A
6p,Bay Flats,#FD8E53
6t,Bay Terraces/Lower Santa Clara Valley,#FB8F4D
13ae,Bishop Volcanic Tableland,#F99145
6n,Bodega Coastal Hills,#F8923E
78h,Border High-Siskiyous,#F69335
7c,Butte Sink/Sutter and Colusa Basins,#F4952B
6ao,Caliente Range,#F2961E
4g,California Cascades Eastside Conifer Forest,#EF9808
6d,Camanche Terraces,#ED9900
6an,Carrizo Plain,#EB9A00
4d,Cascade Subalpine/Alpine,#E99C00
5h,Central Sierra Lower Montane Forests,#E69D00
5g,Central Sierra Mid-Montane Forests,#E49E00
81j,Central Sonoran/Colorado Desert Basins,#E2A000
81i,Central Sonoran/Colorado Desert Mountains,#DFA100
6i,Clear Lake Hills and Valleys,#DCA200
1k,Coastal Franciscan Redwood Forest,#DAA400
1a,Coastal Lowlands,#D7A500
6am,Cuyama Valley,#D4A600
14h,Death Valley/Mojave Central Trough,#D1A700
7j,Delta,#CEA900
6z,Diablo Range,#CBAA00
85f,Diegan Coastal Hills and Valleys,#C8AB00
85e,Diegan Coastal Terraces,#C5AC00
85g,Diegan Western Granitic Foothills,#C2AD00
78p,Duzel Rock,#BEAE00
6r,East Bay Hills/Western Diablo Range,#BBB000
6aa,Eastern Hills,#B8B100
78k,Eastern Klamath Low Elevation Forests,#B4B200
78l,Eastern Klamath Montane Forests,#B0B300
14a,Eastern Mojave Basins,#ACB400
14b,Eastern Mojave Low Ranges and Arid Footslopes,#A8B500
14c,Eastern Mojave Mountain Woodland and Shrubland,#A4B600
5i,Eastern Sierra Great Basin Slopes,#A0B700
5j,Eastern Sierra Mojavean Slopes,#9CB800
6f,Foothill Ridges and Valleys,#97B900
