site_id,site_name,org,us_l3code,us_l3name,us_l4code,us_l4name
SSN_CDFW_24,Fish Slough Ecological Reserve,CDFW,13,Central Basin and Range,13ae,Bishop Volcanic Tableland
SSN_CDFW_2,Honey Lake Wildlife Area,CDFW,13,Central Basin and Range,13aa,Sierra Nevada-Influenced Semiarid Hills and Basins
SSN_CDFW_32,Hallelujah Junction Wildlife Area,CDFW,13,Central Basin and Range,13aa,Sierra Nevada-Influenced Semiarid Hills and Basins
SSN_CDFW_23,Carrizo Plains Ecological Reserve,CDFW,6,Central California Foothills and Coastal Mountains,6ao,Caliente Range
SSN_CDFW_5,Cañada de Los Osos Ecological Reserve,CDFW,6,Central California Foothills and Coastal Mountains,6r,East Bay Hills/Western Diablo Range
SSN_CDFW_26,Watsonville Slough Ecological Reserve,CDFW,6,Central California Foothills and Coastal Mountains,6w,Monterey Bay Plains and Terraces
SSN_CDFW_38,Elkhorn Slough Ecological Reserve,CDFW,6,Central California Foothills and Coastal Mountains,6w,Monterey Bay Plains and Terraces
SSN_CDFW_28,Napa-Sonoma Marshes Wildlife Area,CDFW,6,Central California Foothills and Coastal Mountains,6l,Napa-Sonoma-Russian River Valleys
SSN_CDFW_4,Spenceville Wildlife Area,CDFW,6,Central California Foothills and Coastal Mountains,6b,Northern Sierran Foothills
SSN_CDFW_6,Big Sandy Wildlife Area,CDFW,6,Central California Foothills and Coastal Mountains,6ak,Paso Robles Hills and Valleys
SSN_CDFW_33,Burton Mesa Ecological Reserve,CDFW,6,Central California Foothills and Coastal Mountains,6ap,Solomon-Purisima-Santa Ynez Hills
SSN_CDFW_8,Big Table Mountain Ecological Reserve,CDFW,6,Central California Foothills and Coastal Mountains,6c,Southern Sierran Foothills
SSN_CDFW_3,Tehama Wildlife Area,CDFW,6,Central California Foothills and Coastal Mountains,6a,Tuscan Flows
SSN_CDFW_30,Upper Butte Basin Wildlife Area,CDFW,7,Central California Valley,7c,Butte Sink/Sutter and Colusa Basins
SSN_CDFW_17,Cosumnes River Ecological Reserve,CDFW,7,Central California Valley,7a,Northern Terraces
SSN_CDFW_12,North Grasslands Wildlife Area,CDFW,7,Central California Valley,7m,San Joaquin Basin
SSN_CDFW_13,Semitropic Ecological Reserve,CDFW,7,Central California Valley,7v,Southern Clayey Basins
SSN_CDFW_14,Lake Earl Wildlife Area,CDFW,1,Coast Range,1a,Coastal Lowlands
SSN_CDFW_1,Fitzhugh Creek Wildlife Area,CDFW,9,Eastern Cascades Slopes and Foothills,9o,Likely Tableland
SSN_CDFW_15,Ash Creek Wildlife Area,CDFW,9,Eastern Cascades Slopes and Foothills,9l,Pit River Valleys
SSN_CDFW_29,Shasta Valley Wildlife Area,CDFW,9,Eastern Cascades Slopes and Foothills,9k,Shasta Valley
SSN_CDFW_31,McLellan Mountain Peatland,CDFW,78,Klamath Mountains/California High North Coast Range,78q,Outer North Coast Ranges
SSN_CDFW_18,Camp Cady Wildlife Area,CDFW,14,Mojave Basin and Range,14a,Eastern Mojave Basins
SSN_CDFW_19,Indian Joe Springs Ecological Reserve,CDFW,14,Mojave Basin and Range,14k,Western Mojave Low Ranges and Arid Footslopes
SSN_CDFW_11,Great Basin Springs (Five Springs),CDFW,80,Northern Basin and Range,80g,High Lava Plains
SSN_CDFW_22,Canebrake Ecological Reserve,CDFW,5,Sierra Nevada,5i,Eastern Sierra Great Basin Slopes
SSN_CDFW_16,Pickel Meadow Wildlife Area,CDFW,5,Sierra Nevada,5f,Northeastern Sierra Mixed Conifer-Pine Forests
SSN_CDFW_10,Hope Valley Wildlife Area,CDFW,5,Sierra Nevada,5c,Northern Sierra Upper Montane Forests
SSN_CDFW_7,Monache Meadows Wildlife Area,CDFW,5,Sierra Nevada,5l,Southern Sierra Upper Montane Forests
SSN_CDFW_27,Imperial Wildlife Area,CDFW,81,Sonoran Basin and Range,81f,Imperial/Lower Coachella Valleys
